model,loss,learning_rate,optimizer,num_filters,kernel_sizes,hidden_size,num_layers,num_heads,ffn_dim,train_loss,train_accuracy,validate_loss,validate_accuracy,test_loss,test_accuracy
rnn,cross_entropy,0.0005,adam,-,-,256,2,-,-,0.46020192926631087,0.8358252711814718,1.7931526643589821,0.40855803048065653,1.7413341618982028,0.4146267754608643
transformer,cross_entropy,0.0005,adam,-,-,-,2,4,512,1.0349848186015664,0.5705071826443858,1.4696267745419376,0.40855803048065653,1.4701362194053786,0.4146267754608643
transformer,cross_entropy_ls,0.0005,adam,-,-,-,2,4,256,1.1743968414512418,0.575784227499267,1.5141376241569922,0.40855803048065653,1.496786914191674,0.40525838621940163
cnn,cross_entropy,0.0005,adam,64,"[2, 3, 4]",-,-,-,-,1.096483581473631,0.6313397830548226,1.3810698002192507,0.40855803048065653,1.389439118272338,0.40465397401027503
rnn,cross_entropy,0.0005,adam,-,-,256,1,-,-,0.634584586244984,0.7839343301084726,1.5205040539834311,0.4079718640093787,1.4982118173537566,0.4221819280749471
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,1,8,256,0.9455913730605681,0.7276458516564057,1.6960697608704025,0.4079718640093787,1.6512607252464513,0.4188576609247507
rnn,cross_entropy_ls,0.001,rmsprop,-,-,128,1,-,-,1.1506343039205367,0.6056874816769275,1.4210975107246657,0.4079718640093787,1.4220519739538926,0.414324569356301
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,2,8,256,1.3401325157540733,0.46643213133978306,1.467246584568046,0.4079718640093787,1.4641091230593624,0.40072529465095197
transformer,cross_entropy_ls,0.001,adam,-,-,-,2,4,512,1.0468192623004784,0.6476106713573732,1.6925221049911392,0.40738569753810083,1.6535010394750314,0.40586279842852824
cnn,cross_entropy_ls,0.0005,rmsprop,64,"[3, 4, 5]",-,-,-,-,1.0185942388251883,0.8004983875696277,1.4369642633905444,0.40738569753810083,1.4335723643073794,0.40042308854638864
rnn,cross_entropy_ls,0.0005,adam,-,-,256,2,-,-,0.9710595293920155,0.7074171797126942,1.5355819363107714,0.406799531066823,1.5387708798532724,0.41583559987911756
rnn,cross_entropy_ls,0.001,rmsprop,-,-,256,1,-,-,0.8531701870238596,0.7774846086191732,1.6294279882524945,0.406799531066823,1.6556350799369177,0.3964944091870656
rnn,cross_entropy_ls,0.0005,rmsprop,-,-,128,1,-,-,0.9939853887130214,0.6990618586924655,1.497770794670579,0.4056271981242673,1.4863611899246512,0.42278634028407375
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,1,8,256,1.201046675050479,0.5687481676927587,1.480991127622365,0.4056271981242673,1.4749401860742923,0.4161378059836809
rnn,cross_entropy,0.0005,rmsprop,-,-,256,2,-,-,0.8308041557403157,0.6773673409557315,1.5619850394873938,0.4056271981242673,1.5395402897157204,0.4070716228467815
transformer,cross_entropy,0.001,adam,-,-,-,1,8,512,0.7721363794275897,0.6931984755203753,1.7082699094260283,0.4056271981242673,1.7146068595622233,0.40102750075551524
rnn,cross_entropy_ls,0.001,adam,-,-,256,2,-,-,0.5114097347954297,0.9784520668425681,1.8863665121241722,0.40504103165298944,1.9226013088053395,0.4076760350559081
cnn,cross_entropy_ls,0.0005,adam,64,"[2, 3, 4]",-,-,-,-,1.2276441102082414,0.6102316036352976,1.4416037150871572,0.40504103165298944,1.4413540342416817,0.4076760350559081
rnn,cross_entropy_ls,0.0005,adam,-,-,256,1,-,-,0.9717746611320878,0.7291116974494283,1.4790352855449824,0.40386869871043374,1.4599375168554514,0.41644001208824416
transformer,cross_entropy,0.001,rmsprop,-,-,-,1,8,256,0.851436043075717,0.6543535620052771,1.620104413798378,0.40386869871043374,1.571375532537906,0.4043517679057117
rnn,cross_entropy,0.001,rmsprop,-,-,256,1,-,-,0.3409786125897872,0.900322486074465,1.7570218691932078,0.40328253223915594,1.7343288077512657,0.423995164702327
transformer,cross_entropy,0.0005,adam,-,-,-,1,8,512,1.0906516227929064,0.5565816476106713,1.4691004775473269,0.40328253223915594,1.45938256983672,0.4149289815654276
transformer,cross_entropy,0.001,adam,-,-,-,2,8,512,0.7748948910550196,0.6926121372031663,1.7375932076611804,0.40328253223915594,1.7308397250220149,0.4146267754608643
cnn,cross_entropy,0.001,rmsprop,128,"[3, 4, 5]",-,-,-,-,0.7415446521634057,0.8213133978305482,1.3914610137693488,0.4026963657678781,1.3822316440004134,0.4016319129646419
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,2,4,512,1.3295961091050792,0.4684843154500147,1.4820685995980696,0.40211019929660025,1.4807039978785903,0.4016319129646419
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,1,4,256,1.2460864031989356,0.5293169158604515,1.4851421734093222,0.40211019929660025,1.4701378274878982,0.3964944091870656
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,2,8,512,1.3172694708866934,0.49545587804163,1.6279258663740974,0.40211019929660025,1.6046445162572252,0.39558779087337564
transformer,cross_entropy,0.0005,rmsprop,-,-,-,2,4,512,1.1589629831498616,0.5175901495162709,1.4704572355062433,0.4015240328253224,1.4711622278580099,0.4043517679057117
transformer,cross_entropy,0.001,adam,-,-,-,2,8,256,0.6325395270129237,0.7603342128408092,1.773639225456667,0.4003516998827667,1.701410599221777,0.4215775158658205
cnn,cross_entropy_ls,0.001,rmsprop,128,"[3, 4, 5]",-,-,-,-,0.7438955907421845,0.9296394019349165,1.4425688597689201,0.4003516998827667,1.4491225535432246,0.41100030220610456
transformer,cross_entropy_ls,0.001,adam,-,-,-,1,4,256,1.0611552500158627,0.6550864849017883,1.5909894524537385,0.399179366940211,1.5675828496867272,0.41281353883348443
rnn,cross_entropy_ls,0.0005,rmsprop,-,-,256,1,-,-,0.8724436258263198,0.7664907651715039,1.6022954957007243,0.399179366940211,1.624593354236975,0.4022363251737685
transformer,cross_entropy,0.0005,adam,-,-,-,2,4,256,1.1334406240214983,0.5338610378188214,1.4546750642769781,0.399179366940211,1.446865580203707,0.39770323360531884
transformer,cross_entropy,0.0005,rmsprop,-,-,-,1,8,512,1.0908969150055052,0.5554089709762533,1.529361850631195,0.39859320046893315,1.5020973375824218,0.3992142641281354
transformer,cross_entropy,0.001,adam,-,-,-,2,4,512,1.1800005915436846,0.4997068308413955,1.4211365456877392,0.39859320046893315,1.4133245077476144,0.3989120580235721
cnn,cross_entropy,0.0005,rmsprop,64,"[2, 3, 4]",-,-,-,-,1.042186815554849,0.683377308707124,1.3815614211461469,0.3974208675263775,1.3737486570614204,0.4155333937745542
cnn,cross_entropy,0.001,adam,64,"[3, 4, 5]",-,-,-,-,0.7467274063495344,0.8136909997068308,1.3827801510988618,0.3974208675263775,1.373533532172036,0.41009368389241463
cnn,cross_entropy,0.0005,rmsprop,64,"[3, 4, 5]",-,-,-,-,0.9539893715656318,0.7557900908824392,1.3819026231486242,0.3974208675263775,1.3775135412717665,0.4028407373828951
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,2,8,256,1.229222299241139,0.5470536499560247,1.5237221495627238,0.3974208675263775,1.523642179432071,0.3986098519190088
cnn,cross_entropy_ls,0.001,rmsprop,64,"[3, 4, 5]",-,-,-,-,0.7908742298691268,0.8787745529170331,1.4813982874399612,0.39683470105509966,1.460811896531666,0.4170444242973708
transformer,cross_entropy_ls,0.0005,adam,-,-,-,1,4,512,1.2155047199027833,0.5518909410729991,1.498247369093185,0.39683470105509966,1.4907022850792297,0.4022363251737685
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,2,8,512,1.1787388559241898,0.582527118147171,1.5811749466139156,0.39683470105509966,1.5546701986215452,0.3995164702326987
transformer,cross_entropy,0.0005,adam,-,-,-,2,8,512,1.177229472179631,0.519935502785107,1.534783835427842,0.3962485345838218,1.5161385355344457,0.3874282260501662
cnn,cross_entropy_ls,0.0005,adam,64,"[3, 4, 5]",-,-,-,-,1.0989602743373592,0.7220756376429199,1.4344851543028496,0.39566236811254396,1.429951085789249,0.4122091266243578
cnn,cross_entropy,0.0005,rmsprop,128,"[3, 4, 5]",-,-,-,-,0.9332518956592026,0.741424802110818,1.3951038260532571,0.3950762016412661,1.3876590421459905,0.40586279842852824
transformer,cross_entropy_ls,0.0005,adam,-,-,-,2,4,512,1.1674887369679272,0.5845793022574025,1.4934697553672656,0.3939038686987104,1.489473250633498,0.40737382895134483
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,2,4,256,1.2769532887266724,0.5021987686895338,1.5021468679063625,0.3939038686987104,1.4824321977895494,0.3943789664551224
transformer,cross_entropy,0.0005,rmsprop,-,-,-,2,8,256,1.2279559439558747,0.4783054822632659,1.506944265482993,0.39331770222743256,1.5172583090282705,0.38652160773647626
transformer,cross_entropy,0.0005,rmsprop,-,-,-,2,8,512,1.2158762097044167,0.48798006449721487,1.5256497168177596,0.3921453692848769,1.4841450238090945,0.40404956180114837
transformer,cross_entropy_ls,0.0005,rmsprop,-,-,-,1,4,512,1.2090729650113283,0.5498387569627675,1.5035002822752994,0.3921453692848769,1.4847331314009098,0.40072529465095197
transformer,cross_entropy_ls,0.001,rmsprop,-,-,-,2,4,512,1.386885058841409,0.4448841981823512,1.5225926503486678,0.39155920281359907,1.5006350593359385,0.39981867633726204
transformer,cross_entropy_ls,0.0005,adam,-,-,-,2,8,256,1.2034792174554856,0.5568748167692759,1.5085875463932927,0.3909730363423212,1.4791883269477446,0.4076760350559081
transformer,cross_entropy_ls,0.0005,adam,-,-,-,1,4,256,1.2461852289581188,0.5328349457637056,1.5117205509966172,0.3909730363423212,1.4919576199258624,0.40102750075551524
transformer,cross_entropy,0.0005,rmsprop,-,-,-,1,4,512,1.1751497850778758,0.5019055995309294,1.479917301801836,0.3903868698710434,1.490229967714761,0.38319734058627986
transformer,cross_entropy,0.0005,rmsprop,-,-,-,1,4,256,1.275477372981418,0.46379360891234245,1.4427507257685153,0.3903868698710434,1.4307202407693387,0.3774554245995769
